No,Result,Guaranteed
93A,Apple Cat,Luke
93B,Akuma,Dhalsim
94A,Matador Cat,Ken
94B,Gardener Cat,Dhalsim
95A,Salon Cat,Sagat
95B,Ken,Blanka
96A,Cat Gunslinger,E. Honda
96B,Gardener Cat,M. Bison
97A,Wheel Cat,Sagat
97B,Viking Cat,Blanka
98A,Gardener Cat,Sagat
98B,Wheel Cat,Juri
99A,Witch Cat,Sagat
99B,Balrog Cat,Sagat
100A,Bishop Cat,Juri
100B,Welterweight Cat,Luke
101A,Archer Cat,Juri
101B,Archer Cat,Blanka
102A,Stilts Cat,M. Bison
102B,Vaulter Cat,Juri
103A,C. Honda,Juri
103B,Cat Gunslinger,Juri
104A,Pogo Cat,Blanka
104B,Tin Cat,M. Bison
105A,Cat Toaster,E. Honda
105B,Gardener Cat,Blanka
106A,Cat Gunslinger,Ken
106B,Pogo Cat,Sagat
107A,Onmyoji Cat,E. Honda
107B,Nerd Cat,E. Honda
108A,Juri,Blanka
108B,Bodhisattva Cat,M. Bison
109A,Mer-Cat,M. Bison
109B,Figure Skating Cats,Juri
110A,Welterweight Cat,E. Honda
110B,M. Bison Cat,Ken
111A,Wheel Cat,Juri
111B,M. Bison,M. Bison
112A,Viking Cat,Sagat
112B,Fencer Cat,Luke
113A,Onmyoji Cat,Juri
113B,Shaman Cat,Blanka
114A,Juliet Cat,M. Bison
114B,Kotatsu Cat,Ken
115A,Blanka,Blanka
115B,Jamie Cat,M. Bison
116A,Swordsman Cat,Sagat
116B,Wheel Cat,Blanka
117A,Viking Cat,E. Honda
117B,Rocker Cat,M. Bison
118A,Vega Cat,Luke
118B,Vega Cat,Juri
119A,Sagat Cat,Sagat
119B,,
